회계연도,부처명,회계명,분야명,분야코드,부문명,부문코드,프로그램명,단위사업명,세부사업명,예산구분,예산액
2023,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,생계급여 지급,기금,1918174
2023,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,수급자 관리,예산,4366091
2023,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,생계급여,급여 조정,예산,5274975
2023,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 1종,기금,1672425
2023,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 2종,예산,1478806
2023,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,의료급여,의료급여 사후관리,예산,3784313
2023,보건복지부,사회복지 기금,사회복지,010,기초생활보장,011,기초생활보장 지원,주거급여,임차급여,기금,1886141
2023,보건복지부,일반회계,사회복지,010,기초생활보장,011,기초생활보장 지원,주거급여,수선유지급여,예산,2737555
2023,고용노동부,사회복지 기금,사회복지,010,기초생활보장,011,자활 지원,자활사업,자활근로,기금,2904613
2023,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,자활사업,자활기업 지원,예산,3945230
2023,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,자활사업,취업지원 서비스,예산,3938781
2023,고용노동부,사회복지 기금,사회복지,010,기초생활보장,011,자활 지원,희망키움통장,희망키움통장 Ⅰ,기금,1634446
2023,고용노동부,일반회계,사회복지,010,기초생활보장,011,자활 지원,희망키움통장,희망키움통장 Ⅱ,예산,2989250
2023,여성가족부,사회복지 기금,사회복지,010,취약계층 지원,012,노인복지 지원,기초연금,기초연금 지급,기금,6046036
2023,여성가족부,일반회계,사회복지,010,취약계층 지원,012,노인복지 지원,기초연금,기초연금 관리운영,예산,2944484
2023,여성가족부,사회복지 기금,사회복지,010,취약계층 지원,012,노인복지 지원,노인장기요양,장기요양급여,기금,2289251
2023,여성가족부,일반회계,사회복지,010,취약계층 지원,012,노인복지 지원,노인장기요양,장기요양기관 지원,예산,1563829
2023,국토교통부,사회복지 기금,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인연금,장애인연금 기초급여,기금,2408989
2023,국토교통부,일반회계,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인연금,장애인연금 부가급여,예산,2214707
2023,국토교통부,사회복지 기금,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인활동지원,활동지원급여,기금,1725301
2023,국토교통부,일반회계,사회복지,010,취약계층 지원,012,장애인복지 지원,장애인활동지원,긴급활동지원,예산,1357163
2023,보건복지부,사회복지 기금,사회복지,010,취약계층 지원,012,아동복지 지원,아동수당,아동수당 지급,기금,2393448
2023,보건복지부,일반회계,사회복지,010,취약계층 지원,012,아동복지 지원,아동수당,아동수당 운영,예산,1202760
2023,보건복지부,사회복지 기금,사회복지,010,취약계층 지원,012,아동복지 지원,아동보호 서비스,아동학대 예방,기금,671493
2023,보건복지부,일반회계,사회복지,010,취약계층 지원,012,아동복지 지원,아동보호 서비스,드림스타트,예산,542402
2023,보건복지부,일반회계,사회복지,010,취약계층 지원,012,아동복지 지원,아동보호 서비스,지역아동센터,예산,327337
2023,고용노동부,사회복지 기금,사회복지,010,보육·가족 및 여성,013,보육지원,어린이집 운영 지원,기본보육료,기금,3742616
2023,고용노동부,일반회계,사회복지,010,보육·가족 및 여성,013,보육지원,어린이집 운영 지원,누리과정 보육료,예산,2645964
2023,고용노동부,일반회계,사회복지,010,보육·가족 및 여성,013,보육지원,어린이집 운영 지원,방과후 보육료,예산,2601940
2023,고용노동부,사회복지 기금,사회복지,010,보육·가족 및 여성,013,보육지원,가정양육 지원,양육수당,기금,2876757
2023,고용노동부,일반회계,사회복지,010,보육·가족 및 여성,013,보육지원,가정양육 지원,아이돌봄서비스,예산,6113763
2023,여성가족부,사회복지 기금,사회복지,010,보육·가족 및 여성,013,가족 및 여성지원,다문화가족 지원,다문화가족지원센터,기금,1426434
2023,여성가족부,일반회계,사회복지,010,보육·가족 및 여성,013,가족 및 여성지원,다문화가족 지원,다문화가족 통합지원,예산,3368510
2023,여성가족부,사회복지 기금,사회복지,010,보육·가족 및 여성,013,가족 및 여성지원,여성 사회참여 지원,경력단절여성 지원,기금,2590540
2023,여성가족부,일반회계,사회복지,010,보육·가족 및 여성,013,가족 및 여성지원,여성 사회참여 지원,여성새로일하기센터,예산,3157819
2023,여성가족부,일반회계,사회복지,010,보육·가족 및 여성,013,가족 및 여성지원,여성 사회참여 지원,폭력피해여성 지원,예산,1444057
2023,국토교통부,사회복지 기금,사회복지,010,노동,014,고용보험 운영,실업급여,구직급여,기금,4152484
2023,국토교통부,일반회계,사회복지,010,노동,014,고용보험 운영,실업급여,취업촉진수당,예산,2893463
2023,국토교통부,일반회계,사회복지,010,노동,014,고용보험 운영,실업급여,연장급여,예산,5540781
2023,국토교통부,사회복지 기금,사회복지,010,노동,014,고용보험 운영,고용안정사업,고용유지지원금,기금,2611661
2023,국토교통부,일반회계,사회복지,010,노동,014,고용보험 운영,고용안정사업,채용장려금,예산,2782651
2023,보건복지부,사회복지 기금,사회복지,010,노동,014,직업능력개발,국민내일배움카드,훈련비 지원,기금,3673623
2023,보건복지부,일반회계,사회복지,010,노동,014,직업능력개발,국민내일배움카드,훈련장려금,예산,3518793
2023,보건복지부,사회복지 기금,사회복지,010,노동,014,직업능력개발,사업주 훈련 지원,사업주 직업훈련,기금,2733457
2023,보건복지부,일반회계,사회복지,010,노동,014,직업능력개발,사업주 훈련 지원,K-디지털 트레이닝,예산,2061487
2023,고용노동부,사회복지 기금,사회복지,010,주택,015,주거복지 지원,공공임대주택,영구임대주택,기금,2814798
2023,고용노동부,일반회계,사회복지,010,주택,015,주거복지 지원,공공임대주택,국민임대주택,예산,4563685
2023,고용노동부,일반회계,사회복지,010,주택,015,주거복지 지원,공공임대주택,행복주택,예산,5208245
2023,고용노동부,사회복지 기금,사회복지,010,주택,015,주거복지 지원,주거급여,임차가구 주거급여,기금,3586515
2023,고용노동부,일반회계,사회복지,010,주택,015,주거복지 지원,주거급여,자가가구 수선유지급여,예산,4804637
2023,여성가족부,사회복지 기금,사회복지,010,주택,015,주거환경 개선,도시재생 지원,도시재생 뉴딜,기금,1383168
2023,여성가족부,일반회계,사회복지,010,주택,015,주거환경 개선,도시재생 지원,주거환경 개선사업,예산,3112092
2023,여성가족부,사회복지 기금,사회복지,010,주택,015,주거환경 개선,노후 주거지 정비,재개발 지원,기금,2921143
